,artist,genre
70,Yellow Claw,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop dance']"
71,Unknown Artist,[]
72,Xuitcasecity,"['electropop', 'indie pop rap', 'pop dance', 'pop edm']"
73,Bassjackers,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house']"
74,AJR,['modern rock']
75,Ellie Goulding,"['dance pop', 'edm', 'indietronica', 'metropopolis', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']"
76,David Guetta,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
77,KREAM,"['big room', 'dance pop', 'deep tropical house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']"
78,Adventure Club,"['brostep', 'canadian electronic', 'chillstep', 'edm', 'electro house', 'electronic trap', 'electropop', 'filthstep', 'future bass', 'melodic dubstep', 'pop dance', 'pop edm']"
79,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'trance', 'tropical house']"
80,GASHI,"['pop dance', 'pop rap', 'trap soul']"
81,Panic! At The Disco,"['baroque pop', 'emo', 'modern rock']"
82,AREA21,"['big room', 'edm', 'pop dance']"
83,Jonas Blue,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
84,Kygo,"['edm', 'pop', 'pop dance', 'tropical house']"
85,ZAYN,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'uk pop']"
86,Loud Luxury,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
87,blackbear,"['electropop', 'pop', 'pop rap']"
88,Sammy Adams,"['indie pop rap', 'pop rap']"
89,The Score,"['modern alternative rock', 'modern rock']"
90,Matoma,"['dance pop', 'edm', 'electro house', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'tropical house']"
91,Raaban,[]
92,Maggie Lindemann,"['dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'social media pop']"
93,Two Friends,"['edm', 'electropop', 'pop dance', 'pop edm', 'tropical house']"
95,Lucas & Steve,"['big room', 'dance pop', 'edm', 'electro house', 'pop dance', 'pop edm', 'tropical house']"
96,Sigala,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
97,Hardwell,"['big room', 'dance pop', 'deep big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']"
98,Timeflies,"['dance pop', 'indie pop rap', 'indie poptimism', 'pop', 'pop dance', 'pop rap', 'pop rock', 'post-teen pop', 'tropical house']"
99,Christian French,"['electropop', 'pop']"
100,CVBZ,"['electropop', 'pop dance', 'pop edm']"
101,3OH!3,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']"
102,Felix Jaehn,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'tropical house']"
103,KSHMR,"['big room', 'deep big room', 'edm', 'electro house', 'indian edm', 'pop dance', 'pop edm', 'tropical house']"
104,Quinn XCII,"['electropop', 'indie pop rap', 'pop', 'pop rap']"
105,Hailee Steinfeld,"['dance pop', 'pop', 'pop dance', 'post-teen pop']"
106,Martin Jensen,"['dance pop', 'danish electronic', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
107,Genetikk,"['christlicher rap', 'deep german hip hop', 'german hip hop']"
108,Machine Gun Kelly,"['ohio hip hop', 'pop rap']"
109,James Mercy,['pop edm']
110,Ansel Elgort,"['dance pop', 'pop', 'post-teen pop']"
111,Jaymes Young,"['indie cafe pop', 'indie poptimism', 'modern rock', 'pop']"
112,Arizona Zervas,"['pop rap', 'rhode island rap']"
113,"nothing,nowhere.","['emo rap', 'pop rap', 'sad rap']"
114,EDEN,"['electropop', 'indie poptimism', 'modern rock', 'pop']"
115,Jack & Jack,"['dance pop', 'pop', 'post-teen pop', 'social media pop', 'teen pop']"
116,Ruel,"['australian alternative pop', 'electropop', 'pop', 'post-teen pop']"
117,gianni & kyle,"['pop', 'pop rap']"
118,gnash,"['electropop', 'indie cafe pop', 'pop']"
119,Bea Miller,"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'talent show']"
120,MAX,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']"
121,mike.,"['indie pop rap', 'pop rap', 'rap', 'rhode island rap']"
122,Jeremy Zucker,"['electropop', 'pop']"
123,KYLE,"['pop rap', 'rap']"
124,Sik World,"['emo rap', 'pop rap', 'rap', 'sad rap']"
125,Lund,"['emo rap', 'sad rap']"
126,Trevor Daniel,"['alternative r&b', 'melodic rap', 'pop rap']"
127,Chelsea Cutler,"['electropop', 'indie pop', 'indie poptimism', 'pop', 'tropical house']"
128,Jez Dior,"['deep underground hip hop', 'indie pop rap', 'pop rap']"
129,mansionz,['pop rap']
130,Olivia O'Brien,"['dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']"
131,6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
132,Chase Atlantic,"['electropop', 'indie poptimism', 'modern rock', 'pop', 'rock']"
133,Eden Project,[]
134,Skizzy Mars,"['indie pop rap', 'pop rap', 'rap', 'underground hip hop']"
135,Goody Grace,['pop rap']
136,ODESZA,"['chillwave', 'ninja']"
137,Steve Angello,"['big room', 'disco house', 'edm', 'electro house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tech house']"
138,NF,"['hip hop', 'pop rap', 'rap']"
139,Ed Sheeran,"['pop', 'uk pop']"
140,DNCE,"['dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']"
